,k1,k10,k11,k12,k13,k17,k18,k19,k2,k3,k5,k8,modified,fixed
98,0.02,1.0,0.01,0.01,1.0,100.0,50.0,425.0,10.0,0.01,1.0,1.0,k2,1
99,0.02,1.0,0.01,0.01,1.0,100.0,50.0,500.0,1.0,0.01,1.0,1.0,k2,3
100,0.02,1.0,0.01,0.01,1.0,100.0,50.0,500.0,0.1,0.01,1.0,1.0,k2,3
101,0.02,1.0,0.01,0.01,1.0,100.0,50.0,500.0,0.16681005372000587,0.01,1.0,1.0,k2,3
102,0.02,1.0,0.01,0.01,1.0,100.0,50.0,500.0,0.2782559402207124,0.01,1.0,1.0,k2,3
103,0.02,1.0,0.01,0.01,1.0,100.0,50.0,500.0,0.46415888336127786,0.01,1.0,1.0,k2,3
104,0.02,1.0,0.01,0.01,1.0,100.0,50.0,500.0,0.774263682681127,0.01,1.0,1.0,k2,3
105,0.02,1.0,0.01,0.01,1.0,100.0,50.0,500.0,1.291549665014884,0.01,1.0,1.0,k2,3
106,0.02,1.0,0.01,0.01,1.0,100.0,50.0,500.0,2.1544346900318834,0.01,1.0,1.0,k2,1
107,0.02,1.0,0.01,0.01,1.0,100.0,50.0,500.0,3.593813663804626,0.01,1.0,1.0,k2,1
108,0.02,1.0,0.01,0.01,1.0,100.0,50.0,500.0,5.994842503189409,0.01,1.0,1.0,k2,1
109,0.02,1.0,0.01,0.01,1.0,100.0,50.0,500.0,10.0,0.01,1.0,1.0,k2,1
110,0.02,1.0,0.01,0.01,1.0,100.0,50.0,200.0,1.0,0.01,1.0,1.0,k3,1
111,0.02,1.0,0.01,0.01,1.0,100.0,50.0,200.0,1.0,0.001,1.0,1.0,k3,1
112,0.02,1.0,0.01,0.01,1.0,100.0,50.0,200.0,1.0,0.0016681005372000592,1.0,1.0,k3,1
113,0.02,1.0,0.01,0.01,1.0,100.0,50.0,200.0,1.0,0.0027825594022071257,1.0,1.0,k3,1
114,0.02,1.0,0.01,0.01,1.0,100.0,50.0,200.0,1.0,0.004641588833612777,1.0,1.0,k3,1
115,0.02,1.0,0.01,0.01,1.0,100.0,50.0,200.0,1.0,0.007742636826811269,1.0,1.0,k3,1
116,0.02,1.0,0.01,0.01,1.0,100.0,50.0,200.0,1.0,0.01291549665014884,1.0,1.0,k3,1
117,0.02,1.0,0.01,0.01,1.0,100.0,50.0,200.0,1.0,0.021544346900318832,1.0,1.0,k3,1
118,0.02,1.0,0.01,0.01,1.0,100.0,50.0,200.0,1.0,0.03593813663804626,1.0,1.0,k3,1
119,0.02,1.0,0.01,0.01,1.0,100.0,50.0,200.0,1.0,0.05994842503189409,1.0,1.0,k3,1
120,0.02,1.0,0.01,0.01,1.0,100.0,50.0,200.0,1.0,0.1,1.0,1.0,k3,1
121,0.02,1.0,0.01,0.01,1.0,100.0,50.0,275.0,1.0,0.01,1.0,1.0,k3,1
122,0.02,1.0,0.01,0.01,1.0,100.0,50.0,275.0,1.0,0.001,1.0,1.0,k3,1
123,0.02,1.0,0.01,0.01,1.0,100.0,50.0,275.0,1.0,0.0016681005372000592,1.0,1.0,k3,1
124,0.02,1.0,0.01,0.01,1.0,100.0,50.0,275.0,1.0,0.0027825594022071257,1.0,1.0,k3,1
125,0.02,1.0,0.01,0.01,1.0,100.0,50.0,275.0,1.0,0.004641588833612777,1.0,1.0,k3,1
126,0.02,1.0,0.01,0.01,1.0,100.0,50.0,275.0,1.0,0.007742636826811269,1.0,1.0,k3,1
127,0.02,1.0,0.01,0.01,1.0,100.0,50.0,275.0,1.0,0.01291549665014884,1.0,1.0,k3,1
128,0.02,1.0,0.01,0.01,1.0,100.0,50.0,275.0,1.0,0.021544346900318832,1.0,1.0,k3,1
129,0.02,1.0,0.01,0.01,1.0,100.0,50.0,275.0,1.0,0.03593813663804626,1.0,1.0,k3,1
130,0.02,1.0,0.01,0.01,1.0,100.0,50.0,275.0,1.0,0.05994842503189409,1.0,1.0,k3,1
131,0.02,1.0,0.01,0.01,1.0,100.0,50.0,275.0,1.0,0.1,1.0,1.0,k3,1
132,0.02,1.0,0.01,0.01,1.0,100.0,50.0,350.0,1.0,0.01,1.0,1.0,k3,1
133,0.02,1.0,0.01,0.01,1.0,100.0,50.0,350.0,1.0,0.001,1.0,1.0,k3,1
134,0.02,1.0,0.01,0.01,1.0,100.0,50.0,350.0,1.0,0.0016681005372000592,1.0,1.0,k3,1
135,0.02,1.0,0.01,0.01,1.0,100.0,50.0,350.0,1.0,0.0027825594022071257,1.0,1.0,k3,1
136,0.02,1.0,0.01,0.01,1.0,100.0,50.0,350.0,1.0,0.004641588833612777,1.0,1.0,k3,1
137,0.02,1.0,0.01,0.01,1.0,100.0,50.0,350.0,1.0,0.007742636826811269,1.0,1.0,k3,1
138,0.02,1.0,0.01,0.01,1.0,100.0,50.0,350.0,1.0,0.01291549665014884,1.0,1.0,k3,3
139,0.02,1.0,0.01,0.01,1.0,100.0,50.0,350.0,1.0,0.021544346900318832,1.0,1.0,k3,1
140,0.02,1.0,0.01,0.01,1.0,100.0,50.0,350.0,1.0,0.03593813663804626,1.0,1.0,k3,1
141,0.02,1.0,0.01,0.01,1.0,100.0,50.0,350.0,1.0,0.05994842503189409,1.0,1.0,k3,1
142,0.02,1.0,0.01,0.01,1.0,100.0,50.0,350.0,1.0,0.1,1.0,1.0,k3,1
143,0.02,1.0,0.01,0.01,1.0,100.0,50.0,425.0,1.0,0.01,1.0,1.0,k3,3
144,0.02,1.0,0.01,0.01,1.0,100.0,50.0,425.0,1.0,0.001,1.0,1.0,k3,1
145,0.02,1.0,0.01,0.01,1.0,100.0,50.0,425.0,1.0,0.0016681005372000592,1.0,1.0,k3,1
146,0.02,1.0,0.01,0.01,1.0,100.0,50.0,425.0,1.0,0.0027825594022071257,1.0,1.0,k3,1
147,0.02,1.0,0.01,0.01,1.0,100.0,50.0,425.0,1.0,0.004641588833612777,1.0,1.0,k3,1
148,0.02,1.0,0.01,0.01,1.0,100.0,50.0,425.0,1.0,0.007742636826811269,1.0,1.0,k3,1
