,k1,k10,k11,k12,k13,k17,k18,k19,k2,k3,k5,k8,modified,Path,fixed
89,0.02,1.0,0.01,0.01,1.0,100.0,50.0,425.0,0.1,0.01,1.0,1.0,k2,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0089/,3
90,0.02,1.0,0.01,0.01,1.0,100.0,50.0,425.0,0.16681005372000587,0.01,1.0,1.0,k2,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0090/,3
91,0.02,1.0,0.01,0.01,1.0,100.0,50.0,425.0,0.2782559402207124,0.01,1.0,1.0,k2,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0091/,3
92,0.02,1.0,0.01,0.01,1.0,100.0,50.0,425.0,0.46415888336127786,0.01,1.0,1.0,k2,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0092/,3
93,0.02,1.0,0.01,0.01,1.0,100.0,50.0,425.0,0.774263682681127,0.01,1.0,1.0,k2,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0093/,3
94,0.02,1.0,0.01,0.01,1.0,100.0,50.0,425.0,1.291549665014884,0.01,1.0,1.0,k2,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0094/,3
95,0.02,1.0,0.01,0.01,1.0,100.0,50.0,425.0,2.1544346900318834,0.01,1.0,1.0,k2,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0095/,3
96,0.02,1.0,0.01,0.01,1.0,100.0,50.0,425.0,3.593813663804626,0.01,1.0,1.0,k2,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0096/,1
97,0.02,1.0,0.01,0.01,1.0,100.0,50.0,425.0,5.994842503189409,0.01,1.0,1.0,k2,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0097/,0
98,0.02,1.0,0.01,0.01,1.0,100.0,50.0,425.0,10.0,0.01,1.0,1.0,k2,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0098/,1
99,0.02,1.0,0.01,0.01,1.0,100.0,50.0,500.0,1.0,0.01,1.0,1.0,k2,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0099/,3
100,0.02,1.0,0.01,0.01,1.0,100.0,50.0,500.0,0.1,0.01,1.0,1.0,k2,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0100/,3
101,0.02,1.0,0.01,0.01,1.0,100.0,50.0,500.0,0.16681005372000587,0.01,1.0,1.0,k2,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0101/,3
102,0.02,1.0,0.01,0.01,1.0,100.0,50.0,500.0,0.2782559402207124,0.01,1.0,1.0,k2,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0102/,3
103,0.02,1.0,0.01,0.01,1.0,100.0,50.0,500.0,0.46415888336127786,0.01,1.0,1.0,k2,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0103/,3
104,0.02,1.0,0.01,0.01,1.0,100.0,50.0,500.0,0.774263682681127,0.01,1.0,1.0,k2,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0104/,3
105,0.02,1.0,0.01,0.01,1.0,100.0,50.0,500.0,1.291549665014884,0.01,1.0,1.0,k2,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0105/,3
106,0.02,1.0,0.01,0.01,1.0,100.0,50.0,500.0,2.1544346900318834,0.01,1.0,1.0,k2,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0106/,1
107,0.02,1.0,0.01,0.01,1.0,100.0,50.0,500.0,3.593813663804626,0.01,1.0,1.0,k2,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0107/,1
108,0.02,1.0,0.01,0.01,1.0,100.0,50.0,500.0,5.994842503189409,0.01,1.0,1.0,k2,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0108/,1
109,0.02,1.0,0.01,0.01,1.0,100.0,50.0,500.0,10.0,0.01,1.0,1.0,k2,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0109/,1
110,0.02,1.0,0.01,0.01,1.0,100.0,50.0,200.0,1.0,0.01,1.0,1.0,k3,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0110/,1
111,0.02,1.0,0.01,0.01,1.0,100.0,50.0,200.0,1.0,0.001,1.0,1.0,k3,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0111/,1
112,0.02,1.0,0.01,0.01,1.0,100.0,50.0,200.0,1.0,0.0016681005372000592,1.0,1.0,k3,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0112/,1
113,0.02,1.0,0.01,0.01,1.0,100.0,50.0,200.0,1.0,0.0027825594022071257,1.0,1.0,k3,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0113/,1
114,0.02,1.0,0.01,0.01,1.0,100.0,50.0,200.0,1.0,0.004641588833612777,1.0,1.0,k3,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0114/,1
115,0.02,1.0,0.01,0.01,1.0,100.0,50.0,200.0,1.0,0.007742636826811269,1.0,1.0,k3,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0115/,1
116,0.02,1.0,0.01,0.01,1.0,100.0,50.0,200.0,1.0,0.01291549665014884,1.0,1.0,k3,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0116/,1
117,0.02,1.0,0.01,0.01,1.0,100.0,50.0,200.0,1.0,0.021544346900318832,1.0,1.0,k3,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0117/,1
118,0.02,1.0,0.01,0.01,1.0,100.0,50.0,200.0,1.0,0.03593813663804626,1.0,1.0,k3,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0118/,1
119,0.02,1.0,0.01,0.01,1.0,100.0,50.0,200.0,1.0,0.05994842503189409,1.0,1.0,k3,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0119/,1
120,0.02,1.0,0.01,0.01,1.0,100.0,50.0,200.0,1.0,0.1,1.0,1.0,k3,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0120/,1
121,0.02,1.0,0.01,0.01,1.0,100.0,50.0,275.0,1.0,0.01,1.0,1.0,k3,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0121/,1
122,0.02,1.0,0.01,0.01,1.0,100.0,50.0,275.0,1.0,0.001,1.0,1.0,k3,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0122/,1
123,0.02,1.0,0.01,0.01,1.0,100.0,50.0,275.0,1.0,0.0016681005372000592,1.0,1.0,k3,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0123/,1
124,0.02,1.0,0.01,0.01,1.0,100.0,50.0,275.0,1.0,0.0027825594022071257,1.0,1.0,k3,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0124/,1
125,0.02,1.0,0.01,0.01,1.0,100.0,50.0,275.0,1.0,0.004641588833612777,1.0,1.0,k3,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0125/,1
126,0.02,1.0,0.01,0.01,1.0,100.0,50.0,275.0,1.0,0.007742636826811269,1.0,1.0,k3,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0126/,1
127,0.02,1.0,0.01,0.01,1.0,100.0,50.0,275.0,1.0,0.01291549665014884,1.0,1.0,k3,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0127/,1
